genuine,imposter
14,6
16,6
17,7
19,7
13,6
29,9
16,8
15,9
18,11
18,7
6,15
12,15
24,12
17,12
9,14
16,20
14,16
11,14
15,14
22,14
26,15
22,15
20,16
8,14
17,16
18,11
12,19
17,11
26,13
18,16
14,10
29,15
19,12
9,10
10,11
19,14
22,13
20,14
24,10
20,11
29,15
17,13
20,16
11,15
27,13
24,18
10,15
11,14
20,17
13,17
22,15
29,17
12,21
0,22
18,19
24,20
15,21
20,15
14,13
16,16
24,6
22,14
17,10
17,10
23,12
23,11
16,6
,14
,12
,18
,11
,18
,6
,15
,14
,18
,8
,12
,17
,11
,13
,19
,16
,9
,19
,14
,7
,21
,20
,13
,14
,12
,10
,14
,10
,11
,10
,13
,8
,4
,6
,7
,5
,7
,8
,1
,6
,8
,6
,8
,6
,5
,8
,8
,5
,13
,7
,8
,8
,8
,21
,23
,20
,11
,20
,20
,18
,21
,7
,19
,15
,17
,17
,13
,11
,1
,15
,5
,14
,17
,3
,2
,2
,1
,2
,1
,3
,13
,4
,8
,15
,3
,5
,1
,8
,12
,11
,4
,5
,12
,8
,5
,10
,6
,12
,8
,6
,6
,10
,8
,7
,9
,12
,6
,11
,9
,7
,7
,1
,7
,13
,13
,14
,6
,12
,12
,11
,9
,16
,11
,7
,18
,16
,15
,16
,16
,17
,13
,15
,10
,16
,13
,15
,20
,9
,16
,14
,18
,13
,14
,12
,15
,3
,14
,14
,13
,17
,14
,13
,14
,24
,19
,1
,26
,16
,12
,23
,16
,19
,20
,6
,9
,7
,4
,7
,7
,8
,9
,10
,7
,19
,16
,18
,7
,20
,14
,18
,13
,11
,12
,12
,8
,6
,15
,6
,15
,6
,9
,14
,13
,6
,7
,7
,7
,7
,7
,7
,1
,4
,8
,9
,9
,8
,9
,8
,10
,9
,8
,10
,7
,15
,13
,18
,17
,19
,15
,13
,14
,16
,15
,10
,12
,13
,11
,13
,9
,14
,13
,18
,15
,15
,13
,7
,14
,0
,12
,9
,15
,8
,12
,12
,8
,20
,13
,18
,21
,19
,13
,16
,17
,12
,10
,15
,11
,15
,10
,12
,1
,15
,15
,4
,5
,4
,5
,4
,5
,7
,7
,5
,4
,7
,6
,6
,7
,5
,7
,6
,7
,6
,7
,10
,12
,13
,11
,15
,10
,8
,15
,12
,11
,13
,14
,15
,16
,8
,8
,10
,11
,3
,17
,18
,12
,12
,18
,12
,20
,17
,18
,21
,12
,5
,3
,3
,3
,2
,4
,5
,4
,2
,3
,13
,11
,11
,15
,13
,11
,13
,12
,14
,10
,11
,26
,12
,13
,0
,17
,13
,17
,15
,25
,12
,12
,13
,11
,13
,14
,9
,13
,10
,12
,13
,8
,12
,14
,11
,14
,12
,11
,12
,11
,4
,2
,7
,5
,6
,3
,6
,4
,6
,6
,11
,23
,16
,20
,4
,20
,19
,18
,21
,21
,8
,13
,14
,8
,11
,10
,15
,13
,11
,15
,9
,6
,4
,8
,8
,9
,12
,12
,10
,8
,17
,11
,10
,14
,11
,11
,14
,12
,18
,14
,15
,14
,13
,11
,14
,8
,15
,16
,13
,12
,15
,12
,13
,15
,17
,14
,11
,15
,13
,17
,18
,26
,15
,19
,16
,17
,20
,2
,14
,11
,9
,8
,7
,10
,7
,7
,7
,11
,9
,8
,7
,6
,5
,10
,6
,4
,7
,8
,10
,6
,12
,15
,19
,16
,13
,13
,13
,16
,17
,20
,10
,8
,16
,11
,14
,11
,12
,13
,10
,9
,15
,18
,14
,3
,17
,16
,15
,14
,17
,16
,11
,2
,11
,11
,13
,12
,12
,11
,16
,10
,11
,14
,2
,18
,13
,19
,1
,11
,17
,9
,9
,0
,13
,4
,9
,11
,9
,8
,14
,15
,13
,3
,19
,13
,2
,12
,19
,19
,14
,20
,13
,14
,2
,3
,15
,15
,10
,13
,11
,12
,6
,4
,7
,0
,10
,12
,7
,9
,8
,9
,11
,11
,11
,6
,15
,13
,14
,2
,13
,17
,12
,12
,13
,8
,14
,9
,10
,14
,12
,13
,12
,25
,16
,15
,1
,15
,12
,14
,18
,6
,1
,10
,11
,8
,11
,11
,11
,11
,7
,15
,13
,10
,11
,8
,10
,10
,11
,13
,12
,3
,13
,11
,0
,8
,12
,11
,11
,10
,9
,10
